params,mean_train_score,mean_test_score
"{'kernel': 'rbf', 'gamma': 'scale', 'C': 1.9306977288832496}",0.8287380952380952,0.820047619047619
"{'kernel': 'rbf', 'gamma': 'auto', 'C': 1.9306977288832496}",0.8309047619047619,0.8190476190476191
"{'kernel': 'rbf', 'gamma': 'auto', 'C': 7.196856730011514}",0.8421904761904763,0.8186190476190477
"{'kernel': 'rbf', 'gamma': 'auto', 'C': 0.13894954943731375}",0.8199047619047618,0.8184285714285714
"{'kernel': 'rbf', 'gamma': 'auto', 'C': 26.826957952797247}",0.8566904761904762,0.8136190476190476
"{'kernel': 'rbf', 'gamma': 'scale', 'C': 100.0}",0.8675714285714285,0.8064761904761905
"{'kernel': 'rbf', 'gamma': 'auto', 'C': 0.01}",0.7983095238095238,0.7988571428571429
"{'kernel': 'rbf', 'gamma': 'scale', 'C': 0.01}",0.7979761904761905,0.7977619047619048
